orden_corrida,image_id,file_name,block,algorithm,resolution,pck,kp_vis,kp_det,tiempo_ms
1,52413,000000052413.jpg,indoor,blazepose,high,0.0,4,0,13.8
2,323496,000000323496.jpg,outdoor,blazepose,medium,100.0,14,17,69.2
3,125257,000000125257.jpg,outdoor,blazepose,high,100.0,16,17,64.0
4,467176,000000467176.jpg,indoor,movenet,medium,0.0,10,10,230.0
5,422836,000000422836.jpg,indoor,blazepose,high,0.0,8,0,12.2
6,391375,000000391375.jpg,outdoor,movenet,medium,100.0,17,17,19.1
7,215114,000000215114.jpg,indoor,movenet,medium,100.0,6,12,18.4
8,35062,000000035062.jpg,indoor,blazepose,low,0.0,3,0,12.3
9,243867,000000243867.jpg,outdoor,movenet,high,0.0,4,0,21.3
10,377723,000000377723.jpg,outdoor,blazepose,high,0.0,16,0,12.3
11,438862,000000438862.jpg,outdoor,blazepose,high,100.0,15,17,65.6
12,17899,000000017899.jpg,indoor,movenet,high,100.0,9,11,22.6
13,345356,000000345356.jpg,indoor,movenet,low,100.0,9,11,15.1
14,384808,000000384808.jpg,indoor,blazepose,low,100.0,11,17,65.4
15,568584,000000568584.jpg,indoor,blazepose,low,0.0,12,0,12.2
16,565877,000000565877.jpg,indoor,movenet,low,91.67,12,12,20.7
17,128675,000000128675.jpg,outdoor,blazepose,medium,0.0,14,0,64.3
18,500257,000000500257.jpg,indoor,blazepose,low,0.0,13,17,63.6
19,464824,000000464824.jpg,outdoor,movenet,medium,85.71,7,12,22.8
20,56350,000000056350.jpg,indoor,movenet,medium,20.0,15,6,18.4
21,230819,000000230819.jpg,outdoor,blazepose,high,100.0,16,17,64.3
22,210394,000000210394.jpg,outdoor,movenet,high,0.0,14,17,16.8
23,559543,000000559543.jpg,indoor,blazepose,low,100.0,11,17,64.1
24,327306,000000327306.jpg,outdoor,blazepose,high,0.0,4,0,12.5
25,187243,000000187243.jpg,indoor,blazepose,medium,0.0,14,0,12.4
26,99182,000000099182.jpg,indoor,movenet,high,100.0,6,9,15.1
27,122962,000000122962.jpg,indoor,movenet,low,0.0,16,9,17.3
28,226147,000000226147.jpg,indoor,movenet,medium,100.0,11,15,14.6
29,5060,000000005060.jpg,indoor,blazepose,medium,100.0,17,17,64.2
30,166478,000000166478.jpg,indoor,blazepose,high,100.0,13,17,64.5
31,536038,000000536038.jpg,indoor,blazepose,high,100.0,7,17,64.8
32,32038,000000032038.jpg,indoor,movenet,high,0.0,2,4,15.1
33,37670,000000037670.jpg,indoor,blazepose,low,100.0,1,17,63.9
34,501368,000000501368.jpg,indoor,movenet,medium,50.0,4,3,16.3
35,224724,000000224724.jpg,outdoor,movenet,medium,100.0,16,17,15.5
36,498747,000000498747.jpg,indoor,blazepose,low,100.0,9,17,64.3
37,186042,000000186042.jpg,outdoor,blazepose,low,100.0,14,17,65.5
38,160556,000000160556.jpg,indoor,blazepose,low,100.0,8,17,63.9
39,296231,000000296231.jpg,indoor,blazepose,high,0.0,5,0,12.3
40,245320,000000245320.jpg,outdoor,blazepose,high,0.0,14,0,12.1
41,131556,000000131556.jpg,outdoor,movenet,high,100.0,15,17,19.4
42,458255,000000458255.jpg,indoor,blazepose,low,0.0,7,0,12.1
43,99114,000000099114.jpg,outdoor,movenet,high,100.0,15,17,16.7
44,211825,000000211825.jpg,indoor,blazepose,medium,100.0,10,17,64.3
45,299553,000000299553.jpg,outdoor,movenet,high,90.0,10,13,16.9
46,350679,000000350679.jpg,indoor,blazepose,low,35.71,14,17,65.6
47,4765,000000004765.jpg,outdoor,movenet,medium,100.0,15,17,15.6
48,385029,000000385029.jpg,indoor,blazepose,medium,0.0,1,0,12.4
49,570834,000000570834.jpg,outdoor,blazepose,high,0.0,12,0,12.4
50,424349,000000424349.jpg,indoor,blazepose,high,0.0,8,0,12.3
51,341469,000000341469.jpg,outdoor,movenet,medium,100.0,17,17,14.1
52,343937,000000343937.jpg,outdoor,movenet,low,100.0,14,16,14.3
53,260470,000000260470.jpg,outdoor,movenet,high,77.78,9,10,17.2
54,320642,000000320642.jpg,indoor,movenet,medium,92.31,13,14,14.0
55,81738,000000081738.jpg,indoor,movenet,low,0.0,1,0,14.9
56,14226,000000014226.jpg,indoor,movenet,medium,100.0,9,13,14.9
57,344029,000000344029.jpg,outdoor,blazepose,medium,0.0,7,17,63.9
58,2006,000000002006.jpg,outdoor,blazepose,medium,0.0,12,0,12.4
59,84270,000000084270.jpg,indoor,movenet,medium,76.92,13,11,14.8
60,9769,000000009769.jpg,outdoor,movenet,high,100.0,6,13,20.5
61,116439,000000116439.jpg,outdoor,blazepose,medium,100.0,10,17,63.8
62,261982,000000261982.jpg,outdoor,movenet,high,100.0,4,4,14.5
63,573258,000000573258.jpg,outdoor,movenet,high,100.0,14,17,14.9
64,373705,000000373705.jpg,outdoor,blazepose,medium,0.0,10,17,65.9
65,190753,000000190753.jpg,outdoor,blazepose,low,100.0,11,17,64.2
66,206579,000000206579.jpg,indoor,movenet,low,60.0,10,7,14.3
67,472623,000000472623.jpg,outdoor,movenet,low,78.57,14,13,14.5
68,209753,000000209753.jpg,indoor,movenet,high,91.67,12,12,15.6
69,482436,000000482436.jpg,indoor,blazepose,high,0.0,8,17,64.8
70,315492,000000315492.jpg,indoor,blazepose,high,0.0,4,0,12.5
71,245026,000000245026.jpg,indoor,blazepose,low,100.0,9,17,64.7
72,511760,000000511760.jpg,outdoor,movenet,high,90.91,11,16,15.4
73,72281,000000072281.jpg,outdoor,blazepose,high,100.0,17,17,65.2
74,506707,000000506707.jpg,outdoor,blazepose,low,100.0,16,17,64.6
75,547854,000000547854.jpg,indoor,movenet,high,100.0,9,14,15.2
76,271116,000000271116.jpg,indoor,blazepose,low,0.0,12,17,64.2
77,435206,000000435206.jpg,outdoor,blazepose,medium,0.0,11,0,12.3
78,358923,000000358923.jpg,indoor,blazepose,low,100.0,10,17,64.0
79,261318,000000261318.jpg,indoor,movenet,medium,92.31,13,15,15.8
80,570756,000000570756.jpg,outdoor,blazepose,low,0.0,13,0,12.5
81,426376,000000426376.jpg,outdoor,blazepose,high,0.0,15,0,13.1
82,448365,000000448365.jpg,outdoor,movenet,medium,93.75,16,16,15.5
83,369503,000000369503.jpg,indoor,blazepose,medium,0.0,5,0,63.8
84,567886,000000567886.jpg,indoor,movenet,high,0.0,4,1,14.6
85,341828,000000341828.jpg,indoor,movenet,medium,85.71,7,9,15.0
86,499622,000000499622.jpg,outdoor,blazepose,medium,100.0,11,17,64.1
