image_id,file_name,block,algorithm,resolution,pck,kp_vis,kp_det,tiempo_ms
565853,000000565853.jpg,indoor,blazepose,high,100.0,12,17,111.4
231508,000000231508.jpg,outdoor,movenet,medium,80.0,15,14,146.8
345397,000000345397.jpg,indoor,movenet,medium,100.0,5,9,18.4
440475,000000440475.jpg,indoor,blazepose,low,0.0,12,0,9.8
326970,000000326970.jpg,indoor,blazepose,high,100.0,15,17,70.7
243867,000000243867.jpg,outdoor,blazepose,medium,0.0,4,0,15.1
341973,000000341973.jpg,outdoor,blazepose,low,83.33,6,17,92.4
65350,000000065350.jpg,outdoor,movenet,low,20.0,15,7,19.0
532690,000000532690.jpg,indoor,movenet,medium,100.0,12,13,18.0
243989,000000243989.jpg,outdoor,blazepose,low,100.0,12,17,70.6
314177,000000314177.jpg,indoor,blazepose,low,100.0,15,17,70.3
356248,000000356248.jpg,indoor,blazepose,high,0.0,9,0,9.4
334399,000000334399.jpg,indoor,blazepose,low,18.75,16,17,70.3
214720,000000214720.jpg,indoor,movenet,low,81.82,11,11,18.7
554595,000000554595.jpg,outdoor,blazepose,high,100.0,13,17,70.2
364557,000000364557.jpg,outdoor,movenet,medium,25.0,12,16,18.6
481390,000000481390.jpg,outdoor,movenet,medium,0.0,17,17,17.8
450303,000000450303.jpg,indoor,blazepose,medium,12.5,8,17,70.3
177213,000000177213.jpg,indoor,movenet,high,50.0,2,1,19.8
121242,000000121242.jpg,outdoor,movenet,high,100.0,15,17,20.0
572620,000000572620.jpg,outdoor,movenet,high,0.0,16,15,18.2
119365,000000119365.jpg,indoor,blazepose,high,0.0,5,0,9.5
566282,000000566282.jpg,outdoor,blazepose,low,0.0,15,0,70.6
343218,000000343218.jpg,outdoor,movenet,low,86.67,15,13,18.6
481567,000000481567.jpg,outdoor,blazepose,high,100.0,10,17,70.3
361238,000000361238.jpg,indoor,movenet,high,100.0,8,13,18.6
29397,000000029397.jpg,outdoor,movenet,high,0.0,2,0,18.2
91500,000000091500.jpg,indoor,blazepose,high,100.0,15,17,70.6
243989,000000243989.jpg,outdoor,blazepose,medium,100.0,12,17,70.6
82812,000000082812.jpg,outdoor,movenet,high,7.14,14,10,18.4
118921,000000118921.jpg,outdoor,blazepose,medium,100.0,17,17,70.8
282298,000000282298.jpg,indoor,blazepose,medium,0.0,15,0,9.6
6460,000000006460.jpg,outdoor,blazepose,low,0.0,14,0,9.2
474095,000000474095.jpg,indoor,blazepose,medium,100.0,16,17,70.1
366884,000000366884.jpg,indoor,movenet,high,90.91,11,16,18.0
364557,000000364557.jpg,outdoor,blazepose,high,0.0,12,0,70.2
250901,000000250901.jpg,indoor,movenet,high,25.0,4,3,18.6
376625,000000376625.jpg,outdoor,blazepose,medium,0.0,14,0,9.3
568814,000000568814.jpg,indoor,blazepose,medium,100.0,7,17,70.5
355257,000000355257.jpg,indoor,movenet,low,0.0,10,0,18.9
84270,000000084270.jpg,indoor,movenet,low,0.0,13,17,18.2
331604,000000331604.jpg,outdoor,blazepose,medium,100.0,13,17,70.4
343218,000000343218.jpg,outdoor,blazepose,low,100.0,15,17,70.4
497344,000000497344.jpg,indoor,blazepose,low,100.0,7,17,70.6
150417,000000150417.jpg,indoor,blazepose,high,100.0,11,17,70.7
16228,000000016228.jpg,outdoor,movenet,low,0.0,12,0,18.7
425702,000000425702.jpg,outdoor,blazepose,medium,0.0,11,0,9.3
327605,000000327605.jpg,outdoor,blazepose,high,100.0,16,17,70.3
358923,000000358923.jpg,indoor,movenet,medium,90.0,10,9,18.3
164885,000000164885.jpg,outdoor,movenet,medium,100.0,16,17,17.4
473869,000000473869.jpg,indoor,blazepose,low,100.0,12,17,70.4
315492,000000315492.jpg,indoor,blazepose,low,0.0,4,0,9.6
481390,000000481390.jpg,outdoor,blazepose,low,0.0,17,17,70.4
484351,000000484351.jpg,indoor,blazepose,medium,0.0,15,17,70.4
356248,000000356248.jpg,indoor,movenet,high,0.0,9,12,18.6
118921,000000118921.jpg,outdoor,movenet,high,100.0,17,17,18.6
212453,000000212453.jpg,indoor,blazepose,low,0.0,14,0,9.5
